"Frequency (Hz)","Absolute Amplitude (a.u.)"
9.585937500E3,8.129568187E-4
9.609375000E3,2.484779357E-3
9.632812500E3,1.905913360E-3
9.656250000E3,1.150325085E-3
9.679687500E3,2.024466228E-3
9.703125000E3,2.830195477E-3
9.726562500E3,1.331011251E-3
9.750000000E3,4.217003346E-3
9.773437500E3,7.588044833E-4
9.796875000E3,1.525077885E-3
9.820312500E3,1.023378225E-3
9.843750000E3,3.215151173E-3
9.867187500E3,1.637493575E-3
9.890625000E3,4.101483799E-3
9.914062500E3,3.718975028E-3
9.937500000E3,2.173431226E-3
9.960937500E3,8.353796229E-4
9.984375000E3,5.283825885E-4
1.000781250E4,2.113115182E-3
1.003125000E4,3.474269726E-3
1.005468750E4,2.585233529E-3
1.007812500E4,2.058258446E-3
1.010156250E4,2.033955896E-3
1.012500000E4,1.416745896E-3
1.014843750E4,3.540895571E-3
1.017187500E4,1.084629356E-3
1.019531250E4,8.610519540E-4
1.021875000E4,2.654925052E-3
1.024218750E4,7.783900119E-4
1.026562500E4,1.061464300E-3
1.028906250E4,2.354071303E-3
1.031250000E4,3.233193734E-3
1.033593750E4,1.853688442E-3
1.035937500E4,2.182936477E-3
1.038281250E4,2.207286946E-3
1.040625000E4,2.565408612E-3
1.042968750E4,1.206086164E-3
1.045312500E4,9.950626793E-4
1.047656250E4,8.904815902E-4
1.050000000E4,3.369649128E-3
1.052343750E4,3.237681063E-3
1.054687500E4,3.524162241E-3
1.057031250E4,2.493130472E-3
1.059375000E4,1.884517613E-3
1.061718750E4,9.049531085E-4
1.064062500E4,2.365876186E-3
1.066406250E4,6.612413953E-4
1.068750000E4,2.477391588E-3
1.071093750E4,1.606100726E-3
1.073437500E4,1.179320095E-3
1.075781250E4,9.189250860E-4
1.078125000E4,1.652895343E-3
1.080468750E4,3.913844905E-4
1.082812500E4,6.235948801E-4
1.085156250E4,6.322748382E-4
1.087500000E4,2.608935533E-3
1.089843750E4,5.108139999E-4
1.092187500E4,1.161687345E-3
1.094531250E4,2.515282702E-3
1.096875000E4,2.682891858E-3
1.099218750E4,1.549229478E-3
1.101562500E4,4.297621440E-3
1.103906250E4,2.592062512E-3
1.106250000E4,2.553365413E-3
1.108593750E4,4.051813729E-3
1.110937500E4,5.417263548E-3
1.113281250E4,7.767248083E-3
1.115625000E4,5.955475442E-3
1.117968750E4,3.361501535E-3
1.120312500E4,9.313944627E-4
1.122656250E4,1.603541564E-3
1.125000000E4,3.055298980E-3
1.127343750E4,4.017273847E-3
1.129687500E4,7.525109177E-3
1.132031250E4,1.735347382E-3
1.134375000E4,4.451357981E-3
1.136718750E4,6.169605931E-4
1.139062500E4,2.400661969E-3
1.141406250E4,3.940453065E-3
1.143750000E4,4.129384216E-3
1.146093750E4,2.915844901E-3
1.148437500E4,1.291169531E-3
1.150781250E4,2.500521152E-3
1.153125000E4,4.550799320E-3
1.155468750E4,3.760103922E-3
1.157812500E4,1.990961363E-3
1.160156250E4,4.927065449E-3
1.162500000E4,2.804119087E-3
1.164843750E4,5.980207138E-3
1.167187500E4,3.044608206E-3
1.169531250E4,5.110854271E-3
1.171875000E4,2.401591185E-3
1.174218750E4,1.494562596E-3
1.176562500E4,3.390881283E-3
1.178906250E4,2.447032790E-3
1.181250000E4,3.757942415E-3
1.183593750E4,2.907398935E-3
1.185937500E4,2.471182032E-3
1.188281250E4,2.227087731E-3
1.190625000E4,3.564590283E-4
1.192968750E4,1.551675456E-3
1.195312500E4,2.828348587E-3
1.197656250E4,1.312215679E-3
1.200000000E4,1.263790290E-3
1.202343750E4,1.663109382E-3
1.204687500E4,1.634946803E-3
1.207031250E4,3.032825322E-3
1.209375000E4,1.063392915E-3
1.211718750E4,1.533915740E-3
1.214062500E4,2.006368717E-3
1.216406250E4,2.980537579E-3
1.218750000E4,1.543000513E-3
1.221093750E4,1.610758791E-3
1.223437500E4,1.608074024E-3
1.225781250E4,3.724329447E-3
1.228125000E4,2.069819782E-3
1.230468750E4,9.301560133E-4
1.232812500E4,2.232374627E-3
1.235156250E4,2.359763886E-3
1.237500000E4,1.606768060E-3
1.239843750E4,2.301273660E-3
1.242187500E4,1.559573373E-3
1.244531250E4,2.317581557E-3
1.246875000E4,2.270503189E-3
1.249218750E4,9.952635978E-4
1.251562500E4,3.126850919E-4
1.253906250E4,6.741673312E-4
1.256250000E4,1.437016376E-3
1.258593750E4,3.096461228E-3
1.260937500E4,2.231763055E-3
1.263281250E4,1.862952593E-3
1.265625000E4,8.358235326E-4
1.267968750E4,5.640233542E-4
1.270312500E4,3.133874370E-4
1.272656250E4,2.978460205E-3
1.275000000E4,2.306937158E-3
1.277343750E4,1.369226228E-3
1.279687500E4,9.082359037E-4
1.282031250E4,1.859345328E-3
1.284375000E4,1.646615931E-3
1.286718750E4,6.815942775E-4
1.289062500E4,1.210223504E-3
1.291406250E4,5.668109551E-4
1.293750000E4,1.522780565E-3
1.296093750E4,1.180126474E-3
1.298437500E4,6.388116079E-4
1.300781250E4,2.443730596E-3
1.303125000E4,1.384007906E-3
1.305468750E4,1.769915988E-3
1.307812500E4,1.793557479E-3
1.310156250E4,2.207450443E-3
1.312500000E4,1.596742592E-3
1.314843750E4,1.635176159E-3
1.317187500E4,3.543309619E-4
1.319531250E4,1.458558686E-3
1.321875000E4,1.717830936E-3
1.324218750E4,1.176597132E-3
1.326562500E4,2.093155177E-3
1.328906250E4,1.827229138E-3
1.331250000E4,2.106178331E-3
