"Time (s)","Recording (a.u.)"
6.791666667E-3,-1.338767074E-2
6.812500000E-3,-1.337901596E-2
6.833333333E-3,-1.315478794E-2
6.854166667E-3,-1.272557303E-2
6.875000000E-3,-1.209187694E-2
6.895833333E-3,-1.130512729E-2
6.916666667E-3,-1.048576832E-2
6.937500000E-3,-9.715538472E-3
6.958333333E-3,-8.970253170E-3
6.979166667E-3,-8.219321258E-3
7.000000000E-3,-7.464778610E-3
7.020833333E-3,-6.771991029E-3
7.041666667E-3,-6.162514910E-3
7.062500000E-3,-5.551538430E-3
7.083333333E-3,-4.970083013E-3
7.104166667E-3,-4.440901801E-3
7.125000000E-3,-3.837974276E-3
7.145833333E-3,-3.058366012E-3
7.166666667E-3,-2.119765850E-3
7.187500000E-3,-1.095084357E-3
7.208333333E-3,-2.190210216E-5
7.229166667E-3,1.070549944E-3
7.250000000E-3,2.131837420E-3
7.270833333E-3,3.164428985E-3
7.291666667E-3,4.270527512E-3
7.312500000E-3,5.495899357E-3
7.333333333E-3,6.764759310E-3
7.354166667E-3,7.928447798E-3
7.375000000E-3,8.812341839E-3
7.395833333E-3,9.343137033E-3
7.416666667E-3,9.533324279E-3
7.437500000E-3,9.504011832E-3
7.458333333E-3,9.445707314E-3
7.479166667E-3,9.502438828E-3
7.500000000E-3,9.699781425E-3
7.520833333E-3,9.841093794E-3
7.541666667E-3,9.698414244E-3
7.562500000E-3,9.266769513E-3
7.583333333E-3,8.745081723E-3
7.604166667E-3,8.359285071E-3
7.625000000E-3,8.128164336E-3
7.645833333E-3,7.903326303E-3
7.666666667E-3,7.574990392E-3
7.687500000E-3,7.065185811E-3
7.708333333E-3,6.298876833E-3
7.729166667E-3,5.317510106E-3
7.750000000E-3,4.337750841E-3
7.770833333E-3,3.608024912E-3
7.791666667E-3,3.189824754E-3
7.812500000E-3,2.939331345E-3
7.833333333E-3,2.726736944E-3
7.854166667E-3,2.546184696E-3
7.875000000E-3,2.354405588E-3
7.895833333E-3,2.118970267E-3
7.916666667E-3,1.942099771E-3
7.937500000E-3,1.910888474E-3
7.958333333E-3,1.946631004E-3
7.979166667E-3,1.878112787E-3
8.000000000E-3,1.630935119E-3
8.020833333E-3,1.294495538E-3
8.041666667E-3,9.649511194E-4
8.062500000E-3,5.439395900E-4
8.083333333E-3,-7.691909559E-5
8.104166667E-3,-8.174557588E-4
8.125000000E-3,-1.504721935E-3
8.145833333E-3,-1.958955545E-3
8.166666667E-3,-2.076063771E-3
8.187500000E-3,-1.896115951E-3
8.208333333E-3,-1.563951140E-3
8.229166667E-3,-1.244988642E-3
8.250000000E-3,-1.111017074E-3
8.270833333E-3,-1.210980467E-3
8.291666667E-3,-1.440598862E-3
8.312500000E-3,-1.640146133E-3
8.333333333E-3,-1.676413929E-3
8.354166667E-3,-1.576530514E-3
8.375000000E-3,-1.494081225E-3
8.395833333E-3,-1.643209136E-3
8.416666667E-3,-2.079436788E-3
8.437500000E-3,-2.549867146E-3
8.458333333E-3,-2.757791663E-3
8.479166667E-3,-2.589788055E-3
8.500000000E-3,-2.168171573E-3
8.520833333E-3,-1.750283409E-3
8.541666667E-3,-1.502212835E-3
8.562500000E-3,-1.497139107E-3
8.583333333E-3,-1.783547923E-3
8.604166667E-3,-2.260725480E-3
8.625000000E-3,-2.782017924E-3
8.645833333E-3,-3.287425498E-3
8.666666667E-3,-3.772607539E-3
8.687500000E-3,-4.313469864E-3
8.708333333E-3,-4.949992057E-3
8.729166667E-3,-5.627425388E-3
8.750000000E-3,-6.239833310E-3
8.770833333E-3,-6.605589762E-3
8.791666667E-3,-6.651916541E-3
8.812500000E-3,-6.515257992E-3
8.833333333E-3,-6.288740318E-3
8.854166667E-3,-5.980975926E-3
8.875000000E-3,-5.629890598E-3
8.895833333E-3,-5.313525908E-3
8.916666667E-3,-5.118357949E-3
8.937500000E-3,-5.044543650E-3
8.958333333E-3,-5.057091825E-3
8.979166667E-3,-5.180341657E-3
9.000000000E-3,-5.476493388E-3
9.020833333E-3,-5.907483399E-3
9.041666667E-3,-6.315354258E-3
9.062500000E-3,-6.527424790E-3
9.083333333E-3,-6.430884823E-3
9.104166667E-3,-6.054030731E-3
9.125000000E-3,-5.521168932E-3
9.145833333E-3,-4.984653089E-3
9.166666667E-3,-4.566528369E-3
9.187500000E-3,-4.344157409E-3
9.208333333E-3,-4.306651186E-3
9.229166667E-3,-4.399008118E-3
9.250000000E-3,-4.670887254E-3
9.270833333E-3,-5.116214510E-3
9.291666667E-3,-5.622388795E-3
9.312500000E-3,-6.124443375E-3
9.333333333E-3,-6.579536013E-3
9.354166667E-3,-6.963292137E-3
9.375000000E-3,-7.166566327E-3
9.395833333E-3,-6.959350780E-3
9.416666667E-3,-6.268584169E-3
9.437500000E-3,-5.182624329E-3
9.458333333E-3,-3.854605835E-3
9.479166667E-3,-2.468414139E-3
9.500000000E-3,-1.180196065E-3
9.520833333E-3,-1.905104873E-4
9.541666667E-3,4.834357533E-4
9.562500000E-3,9.827190079E-4
9.583333333E-3,1.433745027E-3
9.604166667E-3,1.989828655E-3
9.625000000E-3,2.625207417E-3
9.645833333E-3,3.283849917E-3
9.666666667E-3,3.964136355E-3
9.687500000E-3,4.522166681E-3
9.708333333E-3,4.924879409E-3
9.729166667E-3,5.376115441E-3
9.750000000E-3,6.107134745E-3
9.770833333E-3,7.123893127E-3
9.791666667E-3,8.181833662E-3
9.812500000E-3,9.064816870E-3
9.833333333E-3,9.684991091E-3
9.854166667E-3,1.012719143E-2
9.875000000E-3,1.056924649E-2
9.895833333E-3,1.119031385E-2
9.916666667E-3,1.213010214E-2
9.937500000E-3,1.318396628E-2
9.958333333E-3,1.402119733E-2
9.979166667E-3,1.451189816E-2
1.000000000E-2,1.471566781E-2
1.002083333E-2,1.490183361E-2
1.004166667E-2,1.519452780E-2
1.006250000E-2,1.548056491E-2
1.008333333E-2,1.554638334E-2
1.010416667E-2,1.520451158E-2
1.012500000E-2,1.442579366E-2
1.014583333E-2,1.322312839E-2
1.016666667E-2,1.185147651E-2
1.018750000E-2,1.066696644E-2
1.020833333E-2,9.737128392E-3
1.022916667E-2,9.001487866E-3
1.025000000E-2,8.418957703E-3
1.027083333E-2,7.950235158E-3
1.029166667E-2,7.553974167E-3
1.031250000E-2,7.181553636E-3
1.033333333E-2,6.877216510E-3
1.035416667E-2,6.688471884E-3
1.037500000E-2,6.474371068E-3
1.039583333E-2,6.038586143E-3
1.041666667E-2,5.273249932E-3
1.043750000E-2,4.191794898E-3
1.045833333E-2,2.863300266E-3
1.047916667E-2,1.352972118E-3
1.050000000E-2,-2.446635626E-4
1.052083333E-2,-1.805912238E-3
1.054166667E-2,-3.171118442E-3
1.056250000E-2,-4.208993167E-3
1.058333333E-2,-4.859699868E-3
1.060416667E-2,-5.211470649E-3
1.062500000E-2,-5.412539467E-3
1.064583333E-2,-5.518253893E-3
1.066666667E-2,-5.641710013E-3
1.068750000E-2,-5.931937601E-3
1.070833333E-2,-6.387832575E-3
1.072916667E-2,-6.812756415E-3
1.075000000E-2,-7.016981021E-3
1.077083333E-2,-7.008482702E-3
1.079166667E-2,-6.902426481E-3
1.081250000E-2,-6.813376211E-3
1.083333333E-2,-6.760019809E-3
1.085416667E-2,-6.713716313E-3
1.087500000E-2,-6.562329829E-3
1.089583333E-2,-6.127236411E-3
1.091666667E-2,-5.351318512E-3
1.093750000E-2,-4.345227964E-3
1.095833333E-2,-3.389623715E-3
1.097916667E-2,-2.694753930E-3
1.100000000E-2,-2.261269838E-3
1.102083333E-2,-1.917480025E-3
1.104166667E-2,-1.420531771E-3
1.106250000E-2,-6.370529300E-4
1.108333333E-2,3.379088594E-4
1.110416667E-2,1.224238775E-3
1.112500000E-2,1.823356841E-3
1.114583333E-2,2.126197098E-3
1.116666667E-2,2.256188542E-3
1.118750000E-2,2.455101348E-3
1.120833333E-2,2.886495087E-3
1.122916667E-2,3.434326965E-3
1.125000000E-2,3.867378458E-3
1.127083333E-2,3.969486803E-3
1.129166667E-2,3.670382313E-3
1.131250000E-2,3.113316372E-3
1.133333333E-2,2.515604952E-3
1.135416667E-2,2.106383443E-3
1.137500000E-2,1.963363262E-3
1.139583333E-2,1.887893188E-3
1.141666667E-2,1.571063534E-3
1.143750000E-2,8.904413553E-4
1.145833333E-2,5.153124221E-6
1.147916667E-2,-7.597219083E-4
1.150000000E-2,-1.142557245E-3
1.152083333E-2,-1.092745573E-3
1.154166667E-2,-7.507513510E-4
1.156250000E-2,-3.311542678E-4
1.158333333E-2,-3.554343130E-5
1.160416667E-2,5.457028237E-5
1.162500000E-2,3.968481178E-5
1.164583333E-2,-3.906418715E-5
1.166666667E-2,-2.365936234E-4
1.168750000E-2,-6.444561295E-4
1.170833333E-2,-1.202982618E-3
1.172916667E-2,-1.721740700E-3
1.175000000E-2,-2.260186244E-3
1.177083333E-2,-2.852937672E-3
1.179166667E-2,-3.492735093E-3
1.181250000E-2,-4.269698169E-3
1.183333333E-2,-5.110549275E-3
1.185416667E-2,-5.941111594E-3
1.187500000E-2,-6.655044854E-3
1.189583333E-2,-7.173483726E-3
1.191666667E-2,-7.557055447E-3
1.193750000E-2,-7.764166687E-3
1.195833333E-2,-7.894773968E-3
1.197916667E-2,-8.140381426E-3
1.200000000E-2,-8.482012898E-3
1.202083333E-2,-8.790549822E-3
1.204166667E-2,-8.948287927E-3
1.206250000E-2,-8.984303102E-3
1.208333333E-2,-9.006508626E-3
1.210416667E-2,-9.085584432E-3
1.212500000E-2,-9.321037680E-3
1.214583333E-2,-9.701864794E-3
1.216666667E-2,-1.004918013E-2
1.218750000E-2,-1.018337719E-2
1.220833333E-2,-1.000608504E-2
1.222916667E-2,-9.688164108E-3
1.225000000E-2,-9.524947032E-3
1.227083333E-2,-9.576533921E-3
1.229166667E-2,-9.731767699E-3
1.231250000E-2,-9.814132005E-3
1.233333333E-2,-9.624027647E-3
1.235416667E-2,-9.020105936E-3
1.237500000E-2,-8.027695119E-3
1.239583333E-2,-6.985628977E-3
1.241666667E-2,-6.253484171E-3
1.243750000E-2,-5.839934573E-3
1.245833333E-2,-5.438779015E-3
1.247916667E-2,-4.821827635E-3
1.250000000E-2,-4.042344168E-3
1.252083333E-2,-3.156636376E-3
1.254166667E-2,-2.229737351E-3
1.256250000E-2,-1.469118288E-3
1.258333333E-2,-1.011492335E-3
1.260416667E-2,-7.034169976E-4
1.262500000E-2,-2.957104589E-4
1.264583333E-2,2.590817458E-4
1.266666667E-2,7.717258995E-4
1.268750000E-2,1.086832606E-3
1.270833333E-2,1.229645335E-3
1.272916667E-2,1.258225995E-3
1.275000000E-2,1.203789259E-3
1.277083333E-2,1.099461457E-3
1.279166667E-2,1.072613057E-3
1.281250000E-2,1.150441822E-3
1.283333333E-2,1.222323859E-3
1.285416667E-2,1.289247302E-3
1.287500000E-2,1.442574896E-3
1.289583333E-2,1.796883414E-3
1.291666667E-2,2.299693413E-3
1.293750000E-2,2.746736398E-3
1.295833333E-2,3.108212724E-3
1.297916667E-2,3.431407269E-3
1.300000000E-2,3.530882765E-3
1.302083333E-2,3.162647365E-3
1.304166667E-2,2.350882394E-3
1.306250000E-2,1.299999421E-3
1.308333333E-2,2.256397565E-4
1.310416667E-2,-7.356440765E-4
1.312500000E-2,-1.513856929E-3
1.314583333E-2,-2.021689434E-3
1.316666667E-2,-2.247917932E-3
1.318750000E-2,-2.205587691E-3
1.320833333E-2,-1.950933714E-3
1.322916667E-2,-1.644965494E-3
1.325000000E-2,-1.378375338E-3
1.327083333E-2,-1.171380281E-3
1.329166667E-2,-9.506213246E-4
1.331250000E-2,-6.203703815E-4
1.333333333E-2,-1.891233551E-4
1.335416667E-2,2.940713312E-4
1.337500000E-2,7.141539827E-4
